,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,61700,1,1500,2.49,60900,61700,60400,40046234,2453966729700,365241659787400,5919637922,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,215500,1,5500,2.62,213500,219500,212000,5718649,1233756974720,156884509657500,728002365,STK
2,207940,KR7207940008,삼성바이오로직스,KOSPI,,1095000,1,23000,2.15,1060000,1095000,1060000,89220,96843008000,77935530000000,71174000,STK
3,373220,KR7373220003,LG에너지솔루션,KOSPI,,329000,2,-5500,-1.64,334000,335000,324000,301938,99498381250,76986000000000,234000000,STK
4,005380,KR7005380001,현대차,KOSPI,,205000,1,2500,1.23,201500,205000,201000,550986,112533896250,42930319155000,209416191,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,50700,1,700,1.4,50300,50900,50000,3133548,158513083250,41369915464800,815974664,STK
6,068270,KR7068270008,셀트리온,KOSPI,,186700,1,400,0.21,185200,189100,184700,575985,107263342850,39973985817300,214108119,STK
7,000270,KR7000270009,기아,KOSPI,,95700,2,-300,-0.31,95500,97400,95500,2441055,234474431650,38057270882400,397672632,STK
8,035420,KR7035420009,NAVER,KOSPI,,209500,1,1500,0.72,209500,210500,206000,685212,142925001000,33192553176000,158437008,STK
9,105560,KR7105560007,KB금융,KOSPI,,81300,2,-1000,-1.22,81100,83300,80500,2609129,213184559728,31993860789900,393528423,STK
10,012450,KR7012450003,한화에어로스페이스,KOSPI,,628000,2,-94000,-13.02,627000,655000,608000,1806984,1139659907500,28624969108000,45581161,STK
11,005490,KR7005490008,POSCO홀딩스,KOSPI,,326000,2,-6000,-1.81,327500,329000,318500,664141,214819563750,26935546902000,82624377,STK
12,329180,KR7329180004,HD현대중공업,KOSPI,,299500,2,-500,-0.17,295000,300500,292000,236149,70189409500,26587548242000,88773116,STK
13,012330,KR7012330007,현대모비스,KOSPI,,266500,2,-4000,-1.48,266500,272000,263500,258883,69291455000,24783192551000,92995094,STK
14,055550,KR7055550008,신한지주,KOSPI,,47800,1,250,0.53,46850,48100,46850,1752532,83718052675,24064686535000,503445325,STK
15,042660,KR7042660001,한화오션,KOSPI,,73100,2,-1700,-2.27,70500,75100,70100,6551086,475597308150,22398819101400,306413394,STK
16,138040,KR7138040001,메리츠금융지주,KOSPI,,117400,2,-2800,-2.33,119800,120100,116600,339241,39953148450,22390541383600,190720114,STK
17,028260,KR7028260008,삼성물산,KOSPI,,124900,1,800,0.64,123300,126200,123000,381789,47722114900,21230070345600,169976544,STK
18,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,370000,2,-3000,-0.8,372000,385000,362500,1286613,480362664250,19727966360000,53318828,KSQ
19,035720,KR7035720002,카카오,KOSPI,,43600,1,950,2.23,42650,43600,41900,1888763,80874935075,19346236995200,443721032,STK
20,096770,KR7096770003,SK이노베이션,KOSPI,,123400,2,-1800,-1.44,125200,125700,121100,352516,43403876650,18637691358400,151034776,STK
21,000810,KR7000810002,삼성화재,KOSPI,,390500,2,-6500,-1.64,391500,397500,389500,81953,32109057000,18499873848500,47374837,STK
22,051910,KR7051910008,LG화학,KOSPI,,261500,1,4500,1.75,259000,263500,246500,623057,160539026500,18459897694500,70592343,STK
23,086790,KR7086790003,하나금융지주,KOSPI,,62200,3,0,0.0,61500,62500,61400,1067821,66370414600,17866382736000,287240880,STK
24,010130,KR7010130003,고려아연,KOSPI,,848000,1,1000,0.12,848000,855000,805000,101388,85475322000,17556383984000,20703283,STK
25,011200,KR7011200003,HMM,KOSPI,,19840,2,-210,-1.05,19830,20150,19440,2003400,39652078210,17479823600640,881039496,STK
26,034020,KR7034020008,두산에너빌리티,KOSPI,,27000,1,1500,5.88,25250,27650,25250,15963299,425878342550,17295150942000,640561146,STK
27,032830,KR7032830002,삼성생명,KOSPI,,86200,1,500,0.58,85300,86500,84200,346471,29750604500,17240000000000,200000000,STK
28,259960,KR7259960003,크래프톤,KOSPI,,325000,2,-3500,-1.07,330500,335000,325000,180108,58917960500,15570197175000,47908299,STK
29,009540,KR7009540006,HD한국조선해양,KOSPI,,213500,1,4000,1.91,206500,213500,205000,326610,68714820000,15110060266000,70773116,STK
30,015760,KR7015760002,한국전력,KOSPI,,22100,1,100,0.45,22000,22500,22000,1702412,37822445000,14187406101700,641964077,STK
31,006400,KR7006400006,삼성SDI,KOSPI,,200500,2,-2000,-0.99,203000,203500,196300,706979,141091695550,13787288265000,68764530,STK
32,066570,KR7066570003,LG전자,KOSPI,,83400,1,600,0.72,83300,84000,82500,636547,52983859100,13648227687600,163647814,STK
33,402340,KR7402340004,SK스퀘어,KOSPI,,101200,1,2300,2.33,98900,104200,98700,574617,58599151300,13515063267200,133548056,STK
34,010140,KR7010140002,삼성중공업,KOSPI,,14580,1,40,0.28,14450,14690,14140,10692305,154843275610,12830400000000,880000000,STK
35,030200,KR7030200000,KT,KOSPI,,49750,2,-950,-1.87,50200,51000,49750,298401,15082107594,12538078828750,252021685,STK
36,024110,KR7024110009,기업은행,KOSPI,,15710,2,-70,-0.44,15750,15770,15670,2292554,36010985450,12527560401990,797425869,STK
37,316140,KR7316140003,우리금융지주,KOSPI,,16790,1,60,0.36,16650,16980,16620,2702526,45472345568,12468111301790,742591501,STK
